0 100 99
1 44 200 0
1 45 200 0
1 46 200 0
1 47 200 0
1 48 200 0
1 49 200 0
1 50 200 0
1 51 200 0
1 52 200 0
1 53 200 0
1 54 200 0
1 55 200 0
1 56 200 0
1 57 200 0
1 58 200 0
1 59 200 0
1 60 200 0
1 61 200 0
1 62 200 0
1 63 200 0
1 64 200 0
1 65 200 0
1 66 200 0
1 67 200 0
1 68 200 0
1 69 200 0
1 70 200 0
1 71 200 0
1 72 200 0
1 73 200 0
1 74 200 0
1 75 200 0
1 76 200 0
1 77 200 0
1 78 200 0
1 79 200 0
1 80 200 0
1 81 200 0
1 82 200 0
1 83 200 0
1 84 200 0
1 85 200 0
1 86 200 0
1 87 200 0
1 88 200 0
1 89 200 0
1 90 200 0
1 91 200 0
1 92 200 0
1 93 200 0
1 94 200 0
1 95 200 0
1 96 200 0
1 97 200 0
1 98 200 0
1 99 200 0
1 100 200 0
2 3 1 1
2 4 200 0
2 5 200 0
2 6 200 0
2 7 200 0
2 8 200 0
2 9 200 0
2 10 200 0
2 11 200 0
2 12 200 0
2 13 200 0
2 14 200 0
2 15 200 0
2 16 200 0
2 17 200 0
2 18 200 0
2 19 200 0
2 20 200 0
2 21 200 0
2 22 200 0
2 23 200 0
2 24 200 0
2 25 200 0
2 26 200 0
2 27 200 0
2 28 200 0
2 29 200 0
2 30 200 0
2 31 200 0
2 32 200 0
2 33 200 0
2 34 200 0
2 35 200 0
2 36 200 0
2 37 200 0
2 38 200 0
2 39 200 0
2 40 200 0
2 41 200 0
2 42 200 0
2 43 200 0
2 44 200 0
2 45 200 0
2 46 200 0
2 47 200 0
2 48 200 0
2 49 200 0
2 50 200 0
2 51 200 0
2 52 200 0
2 53 200 0
2 54 200 0
2 55 200 0
2 56 200 0
2 57 200 0
2 58 200 0
2 59 200 0
2 60 200 0
2 61 200 0
2 62 200 0
2 63 200 0
2 64 200 0
2 65 200 0
2 66 200 0
2 67 200 0
2 68 200 0
2 69 200 0
2 70 200 0
2 71 200 0
2 72 200 0
2 73 200 0
2 74 200 0
2 75 200 0
2 76 200 0
2 77 200 0
2 78 200 0
2 79 200 0
2 80 200 0
2 81 200 0
2 82 200 0
2 83 200 0
2 84 200 0
2 85 200 0
2 86 200 0
2 87 200 0
2 88 200 0
2 89 200 0
2 90 200 0
2 91 200 0
2 92 200 0
2 93 200 0
2 94 200 0
2 95 200 0
2 96 200 0
2 97 200 0
2 98 200 0
2 99 200 0
2 100 200 0
3 4 1 1
3 5 200 0
3 6 200 0
3 7 200 0
3 8 200 0
3 9 200 0
3 10 200 0
3 11 200 0
3 12 200 0
3 13 200 0
3 14 200 0
3 15 200 0
3 16 200 0
3 17 200 0
3 18 200 0
3 19 200 0
3 20 200 0
3 21 200 0
3 22 200 0
3 23 200 0
3 24 200 0
3 25 200 0
3 26 200 0
3 27 200 0
3 28 200 0
3 29 200 0
3 30 200 0
3 31 200 0
3 32 200 0
3 33 200 0
3 34 200 0
3 35 200 0
3 36 200 0
3 37 200 0
3 38 200 0
3 39 200 0
3 40 200 0
3 41 200 0
3 42 200 0
3 43 200 0
3 44 200 0
3 45 200 0
3 46 200 0
3 47 200 0
3 48 200 0
3 49 200 0
3 50 200 0
3 51 200 0
3 52 200 0
3 53 200 0
3 54 200 0
3 55 200 0
3 56 200 0
3 57 200 0
3 58 200 0
3 59 200 0
3 60 200 0
3 61 200 0
3 62 200 0
3 63 200 0
3 64 200 0
3 65 200 0
3 66 200 0
3 67 200 0
3 68 200 0
3 69 200 0
3 70 200 0
3 71 200 0
3 72 200 0
3 73 200 0
3 74 200 0
3 75 200 0
3 76 200 0
3 77 200 0
3 78 200 0
3 79 200 0
3 80 200 0
3 81 200 0
3 82 200 0
3 83 200 0
3 84 200 0
3 85 200 0
3 86 200 0
3 87 200 0
3 88 200 0
3 89 200 0
3 90 200 0
3 91 200 0
3 92 200 0
3 93 200 0
3 94 200 0
3 95 200 0
3 96 200 0
3 97 200 0
3 98 200 0
3 99 200 0
3 100 200 0
4 5 1 1
4 6 200 0
4 7 200 0
4 8 200 0
4 9 200 0
4 10 200 0
4 11 200 0
4 12 200 0
4 13 200 0
4 14 200 0
4 15 200 0
4 16 200 0
4 17 200 0
4 18 200 0
4 19 200 0
4 20 200 0
4 21 200 0
4 22 200 0
4 23 200 0
4 24 200 0
4 25 200 0
4 26 200 0
4 27 200 0
4 28 200 0
4 29 200 0
4 30 200 0
4 31 200 0
4 32 200 0
4 33 200 0
4 34 200 0
4 35 200 0
4 36 200 0
4 37 200 0
4 38 200 0
4 39 200 0
4 40 200 0
4 41 200 0
4 42 200 0
4 43 200 0
4 44 200 0
4 45 200 0
4 46 200 0
4 47 200 0
4 48 200 0
4 49 200 0
4 50 200 0
4 51 200 0
4 52 200 0
4 53 200 0
4 54 200 0
4 55 200 0
4 56 200 0
4 57 200 0
4 58 200 0
4 59 200 0
4 60 200 0
4 61 200 0
4 62 200 0
4 63 200 0
4 64 200 0
4 65 200 0
4 66 200 0
4 67 200 0
4 68 200 0
4 69 200 0
4 70 200 0
4 71 200 0
4 72 200 0
4 73 200 0
4 74 200 0
4 75 200 0
4 76 200 0
4 77 200 0
4 78 200 0
4 79 200 0
4 80 200 0
4 81 200 0
4 82 200 0
4 83 200 0
4 84 200 0
4 85 200 0
4 86 200 0
4 87 200 0
4 88 200 0
4 89 200 0
4 90 200 0
4 91 200 0
4 92 200 0
4 93 200 0
4 94 200 0
4 95 200 0
4 96 200 0
4 97 200 0
4 98 200 0
4 99 200 0
4 100 200 0
5 6 1 1
5 7 200 0
5 8 200 0
5 9 200 0
5 10 200 0
5 11 200 0
5 12 200 0
5 13 200 0
5 14 200 0
5 15 200 0
5 16 200 0
5 17 200 0
5 18 200 0
5 19 200 0
5 20 200 0
5 21 200 0
5 22 200 0
5 23 200 0
5 24 200 0
5 25 200 0
5 26 200 0
5 27 200 0
5 28 200 0
5 29 200 0
5 30 200 0
5 31 200 0
5 32 200 0
5 33 200 0
5 34 200 0
5 35 200 0
5 36 200 0
5 37 200 0
5 38 200 0
5 39 200 0
5 40 200 0
5 41 200 0
5 42 200 0
5 43 200 0
5 44 200 0
5 45 200 0
5 46 200 0
5 47 200 0
5 48 200 0
5 49 200 0
5 50 200 0
5 51 200 0
5 52 200 0
5 53 200 0
5 54 200 0
5 55 200 0
5 56 200 0
5 57 200 0
5 58 200 0
5 59 200 0
5 60 200 0
5 61 200 0
5 62 200 0
5 63 200 0
5 64 200 0
5 65 200 0
5 66 200 0
5 67 200 0
5 68 200 0
5 69 200 0
5 70 200 0
5 71 200 0
5 72 200 0
5 73 200 0
5 74 200 0
5 75 200 0
5 76 200 0
5 77 200 0
5 78 200 0
5 79 200 0
5 80 200 0
5 81 200 0
5 82 200 0
5 83 200 0
5 84 200 0
5 85 200 0
5 86 200 0
5 87 200 0
5 88 200 0
5 89 200 0
5 90 200 0
5 91 200 0
5 92 200 0
5 93 200 0
5 94 200 0
5 95 200 0
5 96 200 0
5 97 200 0
5 98 200 0
5 99 200 0
5 100 200 0
6 7 1 1
6 8 200 0
6 9 200 0
6 10 200 0
6 11 200 0
6 12 200 0
6 13 200 0
6 14 200 0
6 15 200 0
6 16 200 0
6 17 200 0
6 18 200 0
6 19 200 0
6 20 200 0
6 21 200 0
6 22 200 0
6 23 200 0
6 24 200 0
6 25 200 0
6 26 200 0
6 27 200 0
6 28 200 0
6 29 200 0
6 30 200 0
6 31 200 0
6 32 200 0
6 33 200 0
6 34 200 0
6 35 200 0
6 36 200 0
6 37 200 0
6 38 200 0
6 39 200 0
6 40 200 0
6 41 200 0
6 42 200 0
6 43 200 0
6 44 200 0
6 45 200 0
6 46 200 0
6 47 200 0
6 48 200 0
6 49 200 0
6 50 200 0
6 51 200 0
6 52 200 0
6 53 200 0
6 54 200 0
6 55 200 0
6 56 200 0
6 57 200 0
6 58 200 0
6 59 200 0
6 60 200 0
6 61 200 0
6 62 200 0
6 63 200 0
6 64 200 0
6 65 200 0
6 66 200 0
6 67 200 0
6 68 200 0
6 69 200 0
6 70 200 0
6 71 200 0
6 72 200 0
6 73 200 0
6 74 200 0
6 75 200 0
6 76 200 0
6 77 200 0
6 78 200 0
6 79 200 0
6 80 200 0
6 81 200 0
6 82 200 0
6 83 200 0
6 84 200 0
6 85 200 0
6 86 200 0
6 87 200 0
6 88 200 0
6 89 200 0
6 90 200 0
6 91 200 0
6 92 200 0
6 93 200 0
6 94 200 0
6 95 200 0
6 96 200 0
6 97 200 0
6 98 200 0
6 99 200 0
6 100 200 0
7 8 1 1
7 9 200 0
7 10 200 0
7 11 200 0
7 12 200 0
7 13 200 0
7 14 200 0
7 15 200 0
7 16 200 0
7 17 200 0
7 18 200 0
7 19 200 0
7 20 200 0
7 21 200 0
7 22 200 0
7 23 200 0
7 24 200 0
7 25 200 0
7 26 200 0
7 27 200 0
7 28 200 0
7 29 200 0
7 30 200 0
7 31 200 0
7 32 200 0
7 33 200 0
7 34 200 0
7 35 200 0
7 36 200 0
7 37 200 0
7 38 200 0
7 39 200 0
7 40 200 0
7 41 200 0
7 42 200 0
7 43 200 0
7 44 200 0
7 45 200 0
7 46 200 0
7 47 200 0
7 48 200 0
7 49 200 0
7 50 200 0
7 51 200 0
7 52 200 0
7 53 200 0
7 54 200 0
7 55 200 0
7 56 200 0
7 57 200 0
7 58 200 0
7 59 200 0
7 60 200 0
7 61 200 0
7 62 200 0
7 63 200 0
7 64 200 0
7 65 200 0
7 66 200 0
7 67 200 0
7 68 200 0
7 69 200 0
7 70 200 0
7 71 200 0
7 72 200 0
7 73 200 0
7 74 200 0
7 75 200 0
7 76 200 0
7 77 200 0
7 78 200 0
7 79 200 0
7 80 200 0
7 81 200 0
7 82 200 0
7 83 200 0
7 84 200 0
7 85 200 0
7 86 200 0
7 87 200 0
7 88 200 0
7 89 200 0
7 90 200 0
7 91 200 0
7 92 200 0
7 93 200 0
7 94 200 0
7 95 200 0
7 96 200 0
7 97 200 0
7 98 200 0
7 99 200 0
7 100 200 0
8 9 1 1
8 10 200 0
8 11 200 0
8 12 200 0
8 13 200 0
8 14 200 0
8 15 200 0
8 16 200 0
8 17 200 0
8 18 200 0
8 19 200 0
8 20 200 0
8 21 200 0
8 22 200 0
8 23 200 0
8 24 200 0
8 25 200 0
8 26 200 0
8 27 200 0
8 28 200 0
8 29 200 0
8 30 200 0
8 31 200 0
8 32 200 0
8 33 200 0
8 34 200 0
8 35 200 0
8 36 200 0
8 37 200 0
8 38 200 0
8 39 200 0
8 40 200 0
8 41 200 0
8 42 200 0
8 43 200 0
8 44 200 0
8 45 200 0
8 46 200 0
8 47 200 0
8 48 200 0
8 49 200 0
8 50 200 0
8 51 200 0
8 52 200 0
8 53 200 0
8 54 200 0
8 55 200 0
8 56 200 0
8 57 200 0
8 58 200 0
8 59 200 0
8 60 200 0
8 61 200 0
8 62 200 0
8 63 200 0
8 64 200 0
8 65 200 0
8 66 200 0
8 67 200 0
8 68 200 0
8 69 200 0
8 70 200 0
8 71 200 0
8 72 200 0
8 73 200 0
8 74 200 0
8 75 200 0
8 76 200 0
8 77 200 0
8 78 200 0
8 79 200 0
8 80 200 0
8 81 200 0
8 82 200 0
8 83 200 0
8 84 200 0
8 85 200 0
8 86 200 0
8 87 200 0
8 88 200 0
8 89 200 0
8 90 200 0
8 91 200 0
8 92 200 0
8 93 200 0
8 94 200 0
8 95 200 0
8 96 200 0
8 97 200 0
8 98 200 0
8 99 200 0
8 100 200 0
9 10 1 1
9 11 200 0
9 12 200 0
9 13 200 0
9 14 200 0
9 15 200 0
9 16 200 0
9 17 200 0
9 18 200 0
9 19 200 0
9 20 200 0
9 21 200 0
9 22 200 0
9 23 200 0
9 24 200 0
9 25 200 0
9 26 200 0
9 27 200 0
9 28 200 0
9 29 200 0
9 30 200 0
9 31 200 0
9 32 200 0
9 33 200 0
9 34 200 0
9 35 200 0
9 36 200 0
9 37 200 0
9 38 200 0
9 39 200 0
9 40 200 0
9 41 200 0
9 42 200 0
9 43 200 0
9 44 200 0
9 45 200 0
9 46 200 0
9 47 200 0
9 48 200 0
9 49 200 0
9 50 200 0
9 51 200 0
9 52 200 0
9 53 200 0
9 54 200 0
9 55 200 0
9 56 200 0
9 57 200 0
9 58 200 0
9 59 200 0
9 60 200 0
9 61 200 0
9 62 200 0
9 63 200 0
9 64 200 0
9 65 200 0
9 66 200 0
9 67 200 0
9 68 200 0
9 69 200 0
9 70 200 0
9 71 200 0
9 72 200 0
9 73 200 0
9 74 200 0
9 75 200 0
9 76 200 0
9 77 200 0
9 78 200 0
9 79 200 0
9 80 200 0
9 81 200 0
9 82 200 0
9 83 200 0
9 84 200 0
9 85 200 0
9 86 200 0
9 87 200 0
9 88 200 0
9 89 200 0
9 90 200 0
9 91 200 0
9 92 200 0
9 93 200 0
9 94 200 0
9 95 200 0
9 96 200 0
9 97 200 0
9 98 200 0
9 99 200 0
9 100 200 0
10 11 1 1
10 12 200 0
10 13 200 0
10 14 200 0
10 15 200 0
10 16 200 0
10 17 200 0
10 18 200 0
10 19 200 0
10 20 200 0
10 21 200 0
10 22 200 0
10 23 200 0
10 24 200 0
10 25 200 0
10 26 200 0
10 27 200 0
10 28 200 0
10 29 200 0
10 30 200 0
10 31 200 0
10 32 200 0
10 33 200 0
10 34 200 0
10 35 200 0
10 36 200 0
10 37 200 0
10 38 200 0
10 39 200 0
10 40 200 0
10 41 200 0
10 42 200 0
10 43 200 0
10 44 200 0
10 45 200 0
10 46 200 0
10 47 200 0
10 48 200 0
10 49 200 0
10 50 200 0
10 51 200 0
10 52 200 0
10 53 200 0
10 54 200 0
10 55 200 0
10 56 200 0
10 57 200 0
10 58 200 0
10 59 200 0
10 60 200 0
10 61 200 0
10 62 200 0
10 63 200 0
10 64 200 0
10 65 200 0
10 66 200 0
10 67 200 0
10 68 200 0
10 69 200 0
10 70 200 0
10 71 200 0
10 72 200 0
10 73 200 0
10 74 200 0
10 75 200 0
10 76 200 0
10 77 200 0
10 78 200 0
10 79 200 0
10 80 200 0
10 81 200 0
10 82 200 0
10 83 200 0
10 84 200 0
10 85 200 0
10 86 200 0
10 87 200 0
10 88 200 0
10 89 200 0
10 90 200 0
10 91 200 0
10 92 200 0
10 93 200 0
10 94 200 0
10 95 200 0
10 96 200 0
10 97 200 0
10 98 200 0
10 99 200 0
10 100 200 0
11 12 1 1
11 13 200 0
11 14 200 0
11 15 200 0
11 16 200 0
11 17 200 0
11 18 200 0
11 19 200 0
11 20 200 0
11 21 200 0
11 22 200 0
11 23 200 0
11 24 200 0
11 25 200 0
11 26 200 0
11 27 200 0
11 28 200 0
11 29 200 0
11 30 200 0
11 31 200 0
11 32 200 0
11 33 200 0
11 34 200 0
11 35 200 0
11 36 200 0
11 37 200 0
11 38 200 0
11 39 200 0
11 40 200 0
11 41 200 0
11 42 200 0
11 43 200 0
11 44 200 0
11 45 200 0
11 46 200 0
11 47 200 0
11 48 200 0
11 49 200 0
11 50 200 0
11 51 200 0
11 52 200 0
11 53 200 0
11 54 200 0
11 55 200 0
11 56 200 0
11 57 200 0
11 58 200 0
11 59 200 0
11 60 200 0
11 61 200 0
11 62 200 0
11 63 200 0
11 64 200 0
11 65 200 0
11 66 200 0
11 67 200 0
11 68 200 0
11 69 200 0
11 70 200 0
11 71 200 0
11 72 200 0
11 73 200 0
11 74 200 0
11 75 200 0
11 76 200 0
11 77 200 0
11 78 200 0
11 79 200 0
11 80 200 0
11 81 200 0
11 82 200 0
11 83 200 0
11 84 200 0
11 85 200 0
11 86 200 0
11 87 200 0
11 88 200 0
11 89 200 0
11 90 200 0
11 91 200 0
11 92 200 0
11 93 200 0
11 94 200 0
11 95 200 0
11 96 200 0
11 97 200 0
11 98 200 0
11 99 200 0
11 100 200 0
12 13 1 1
12 14 200 0
12 15 200 0
12 16 200 0
12 17 200 0
12 18 200 0
12 19 200 0
12 20 200 0
12 21 200 0
12 22 200 0
12 23 200 0
12 24 200 0
12 25 200 0
12 26 200 0
12 27 200 0
12 28 200 0
12 29 200 0
12 30 200 0
12 31 200 0
12 32 200 0
12 33 200 0
12 34 200 0
12 35 200 0
12 36 200 0
12 37 200 0
12 38 200 0
12 39 200 0
12 40 200 0
12 41 200 0
12 42 200 0
12 43 200 0
12 44 200 0
12 45 200 0
12 46 200 0
12 47 200 0
12 48 200 0
12 49 200 0
12 50 200 0
12 51 200 0
12 52 200 0
12 53 200 0
12 54 200 0
12 55 200 0
12 56 200 0
12 57 200 0
12 58 200 0
12 59 200 0
12 60 200 0
12 61 200 0
12 62 200 0
12 63 200 0
12 64 200 0
12 65 200 0
12 66 200 0
12 67 200 0
12 68 200 0
12 69 200 0
12 70 200 0
12 71 200 0
12 72 200 0
12 73 200 0
12 74 200 0
12 75 200 0
12 76 200 0
12 77 200 0
12 78 200 0
12 79 200 0
12 80 200 0
12 81 200 0
12 82 200 0
12 83 200 0
12 84 200 0
12 85 200 0
12 86 200 0
12 87 200 0
12 88 200 0
12 89 200 0
12 90 200 0
12 91 200 0
12 92 200 0
12 93 200 0
12 94 200 0
12 95 200 0
12 96 200 0
12 97 200 0
12 98 200 0
12 99 200 0
12 100 200 0
13 14 1 1
13 15 200 0
13 16 200 0
13 17 200 0
13 18 200 0
13 19 200 0
13 20 200 0
13 21 200 0
13 22 200 0
13 23 200 0
13 24 200 0
13 25 200 0
13 26 200 0
13 27 200 0
13 28 200 0
13 29 200 0
13 30 200 0
13 31 200 0
13 32 200 0
13 33 200 0
13 34 200 0
13 35 200 0
13 36 200 0
13 37 200 0
13 38 200 0
13 39 200 0
13 40 200 0
13 41 200 0
13 42 200 0
13 43 200 0
13 44 200 0
13 45 200 0
13 46 200 0
13 47 200 0
13 48 200 0
13 49 200 0
13 50 200 0
13 51 200 0
13 52 200 0
13 53 200 0
13 54 200 0
13 55 200 0
13 56 200 0
13 57 200 0
13 58 200 0
13 59 200 0
13 60 200 0
13 61 200 0
13 62 200 0
13 63 200 0
13 64 200 0
13 65 200 0
13 66 200 0
13 67 200 0
13 68 200 0
13 69 200 0
13 70 200 0
13 71 200 0
13 72 200 0
13 73 200 0
13 74 200 0
13 75 200 0
13 76 200 0
13 77 200 0
13 78 200 0
13 79 200 0
13 80 200 0
13 81 200 0
13 82 200 0
13 83 200 0
13 84 200 0
13 85 200 0
13 86 200 0
13 87 200 0
13 88 200 0
13 89 200 0
13 90 200 0
13 91 200 0
13 92 200 0
13 93 200 0
13 94 200 0
13 95 200 0
13 96 200 0
13 97 200 0
13 98 200 0
13 99 200 0
13 100 200 0
14 15 1 1
14 16 200 0
14 17 200 0
14 18 200 0
14 19 200 0
14 20 200 0
14 21 200 0
14 22 200 0
14 23 200 0
14 24 200 0
14 25 200 0
14 26 200 0
14 27 200 0
14 28 200 0
14 29 200 0
14 30 200 0
14 31 200 0
14 32 200 0
14 33 200 0
14 34 200 0
14 35 200 0
14 36 200 0
14 37 200 0
14 38 200 0
14 39 200 0
14 40 200 0
14 41 200 0
14 42 200 0
14 43 200 0
14 44 200 0
14 45 200 0
14 46 200 0
14 47 200 0
14 48 200 0
14 49 200 0
14 50 200 0
14 51 200 0
14 52 200 0
14 53 200 0
14 54 200 0
14 55 200 0
14 56 200 0
14 57 200 0
14 58 200 0
14 59 200 0
14 60 200 0
14 61 200 0
14 62 200 0
14 63 200 0
14 64 200 0
14 65 200 0
14 66 200 0
14 67 200 0
14 68 200 0
14 69 200 0
14 70 200 0
14 71 200 0
14 72 200 0
14 73 200 0
14 74 200 0
14 75 200 0
14 76 200 0
14 77 200 0
14 78 200 0
14 79 200 0
14 80 200 0
14 81 200 0
14 82 200 0
14 83 200 0
14 84 200 0
14 85 200 0
14 86 200 0
14 87 200 0
14 88 200 0
14 89 200 0
14 90 200 0
14 91 200 0
14 92 200 0
14 93 200 0
14 94 200 0
14 95 200 0
14 96 200 0
14 97 200 0
14 98 200 0
14 99 200 0
14 100 200 0
15 16 1 1
15 17 200 0
15 18 200 0
15 19 200 0
15 20 200 0
15 21 200 0
15 22 200 0
15 23 200 0
15 24 200 0
15 25 200 0
15 26 200 0
15 27 200 0
15 28 200 0
15 29 200 0
15 30 200 0
15 31 200 0
15 32 200 0
15 33 200 0
15 34 200 0
15 35 200 0
15 36 200 0
15 37 200 0
15 38 200 0
15 39 200 0
15 40 200 0
15 41 200 0
15 42 200 0
15 43 200 0
15 44 200 0
15 45 200 0
15 46 200 0
15 47 200 0
15 48 200 0
15 49 200 0
15 50 200 0
15 51 200 0
15 52 200 0
15 53 200 0
15 54 200 0
15 55 200 0
15 56 200 0
15 57 200 0
15 58 200 0
15 59 200 0
15 60 200 0
15 61 200 0
15 62 200 0
15 63 200 0
15 64 200 0
15 65 200 0
15 66 200 0
15 67 200 0
15 68 200 0
15 69 200 0
15 70 200 0
15 71 200 0
15 72 200 0
15 73 200 0
15 74 200 0
15 75 200 0
15 76 200 0
15 77 200 0
15 78 200 0
15 79 200 0
15 80 200 0
15 81 200 0
15 82 200 0
15 83 200 0
15 84 200 0
15 85 200 0
15 86 200 0
15 87 200 0
15 88 200 0
15 89 200 0
15 90 200 0
15 91 200 0
15 92 200 0
15 93 200 0
15 94 200 0
15 95 200 0
15 96 200 0
15 97 200 0
15 98 200 0
15 99 200 0
15 100 200 0
16 17 1 1
16 18 200 0
16 19 200 0
16 20 200 0
16 21 200 0
16 22 200 0
16 23 200 0
16 24 200 0
16 25 200 0
16 26 200 0
16 27 200 0
16 28 200 0
16 29 200 0
16 30 200 0
16 31 200 0
16 32 200 0
16 33 200 0
16 34 200 0
16 35 200 0
16 36 200 0
16 37 200 0
16 38 200 0
16 39 200 0
16 40 200 0
16 41 200 0
16 42 200 0
16 43 200 0
16 44 200 0
16 45 200 0
16 46 200 0
16 47 200 0
16 48 200 0
16 49 200 0
16 50 200 0
16 51 200 0
16 52 200 0
16 53 200 0
16 54 200 0
16 55 200 0
16 56 200 0
16 57 200 0
16 58 200 0
16 59 200 0
16 60 200 0
16 61 200 0
16 62 200 0
16 63 200 0
16 64 200 0
16 65 200 0
16 66 200 0
16 67 200 0
16 68 200 0
16 69 200 0
16 70 200 0
16 71 200 0
16 72 200 0
16 73 200 0
16 74 200 0
16 75 200 0
16 76 200 0
16 77 200 0
16 78 200 0
16 79 200 0
16 80 200 0
16 81 200 0
16 82 200 0
16 83 200 0
16 84 200 0
16 85 200 0
16 86 200 0
16 87 200 0
16 88 200 0
16 89 200 0
16 90 200 0
16 91 200 0
16 92 200 0
16 93 200 0
16 94 200 0
16 95 200 0
16 96 200 0
16 97 200 0
16 98 200 0
16 99 200 0
16 100 200 0
17 18 1 1
17 19 200 0
17 20 200 0
17 21 200 0
17 22 200 0
17 23 200 0
17 24 200 0
17 25 200 0
17 26 200 0
17 27 200 0
17 28 200 0
17 29 200 0
17 30 200 0
17 31 200 0
17 32 200 0
17 33 200 0
17 34 200 0
17 35 200 0
17 36 200 0
17 37 200 0
17 38 200 0
17 39 200 0
17 40 200 0
17 41 200 0
17 42 200 0
17 43 200 0
17 44 200 0
17 45 200 0
17 46 200 0
17 47 200 0
17 48 200 0
17 49 200 0
17 50 200 0
17 51 200 0
17 52 200 0
17 53 200 0
17 54 200 0
17 55 200 0
17 56 200 0
17 57 200 0
17 58 200 0
17 59 200 0
17 60 200 0
17 61 200 0
17 62 200 0
17 63 200 0
17 64 200 0
17 65 200 0
17 66 200 0
17 67 200 0
17 68 200 0
17 69 200 0
17 70 200 0
17 71 200 0
17 72 200 0
17 73 200 0
17 74 200 0
17 75 200 0
17 76 200 0
17 77 200 0
17 78 200 0
17 79 200 0
17 80 200 0
17 81 200 0
17 82 200 0
17 83 200 0
17 84 200 0
17 85 200 0
17 86 200 0
17 87 200 0
17 88 200 0
17 89 200 0
17 90 200 0
17 91 200 0
17 92 200 0
17 93 200 0
17 94 200 0
17 95 200 0
17 96 200 0
17 97 200 0
17 98 200 0
17 99 200 0
17 100 200 0
18 19 1 1
18 20 200 0
18 21 200 0
18 22 200 0
18 23 200 0
18 24 200 0
18 25 200 0
18 26 200 0
18 27 200 0
18 28 200 0
18 29 200 0
18 30 200 0
18 31 200 0
18 32 200 0
18 33 200 0
18 34 200 0
18 35 200 0
18 36 200 0
18 37 200 0
18 38 200 0
18 39 200 0
18 40 200 0
18 41 200 0
18 42 200 0
18 43 200 0
18 44 200 0
18 45 200 0
18 46 200 0
18 47 200 0
18 48 200 0
18 49 200 0
18 50 200 0
18 51 200 0
18 52 200 0
18 53 200 0
18 54 200 0
18 55 200 0
18 56 200 0
18 57 200 0
18 58 200 0
18 59 200 0
18 60 200 0
18 61 200 0
18 62 200 0
18 63 200 0
18 64 200 0
18 65 200 0
18 66 200 0
18 67 200 0
18 68 200 0
18 69 200 0
18 70 200 0
18 71 200 0
18 72 200 0
18 73 200 0
18 74 200 0
18 75 200 0
18 76 200 0
18 77 200 0
18 78 200 0
18 79 200 0
18 80 200 0
18 81 200 0
18 82 200 0
18 83 200 0
18 84 200 0
18 85 200 0
18 86 200 0
18 87 200 0
18 88 200 0
18 89 200 0
18 90 200 0
18 91 200 0
18 92 200 0
18 93 200 0
18 94 200 0
18 95 200 0
18 96 200 0
18 97 200 0
18 98 200 0
18 99 200 0
18 100 200 0
19 20 1 1
19 21 200 0
19 22 200 0
19 23 200 0
19 24 200 0
19 25 200 0
19 26 200 0
19 27 200 0
19 28 200 0
19 29 200 0
19 30 200 0
19 31 200 0
19 32 200 0
19 33 200 0
19 34 200 0
19 35 200 0
19 36 200 0
19 37 200 0
19 38 200 0
